Ente,Unidade,Ano,Mes,Modalidade,Tipo,ProcessoLicitatorio,NumeroEdital,PublicacaoOficial,DataPublicacaoOficial,DataHomologacao,DataPublicacaoEdital,Objeto,Parecer,ValorEstimado,AdiadoSineDie,OrcamentoSigiloso,PercentualRecursosUniao
MACAE,CAMARA MACAE,2022,1,PREGÃO PRESENCIAL,MENOR PREÇO P/ITEM,281573,PP 001/2022,DIÁRIO OFICIAL DO MUNICÍPIO (WWW.MACAE.RJ.GOV.BR),2022-01-26,2022-02-01,2022-01-13,"EVENTUAL CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAL GRÁFICO, VISANDO ATENDER AS NECESSIDADES DA CÂMARA MUNICIPAL DE MACAÉ.",None,121660.4,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281721,PE 001/2022 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-01-28,2022-02-01,2022-01-14,"AQUISIÇÃO DE MATERIAL DE LIMPEZA PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE ORDEM PÚBLICA, SECRETARIA MUNICIPAL ADJUNTA DE SEGURANÇA E SEUS SETORES ADMINISTRATIVOS E OPERACIONAIS",None,24857.16,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281207,RGP PE F006/202,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-01-28,2022-02-02,2022-01-15,"AQUISIÇÃO DE FIOS CIRÚRGICOS E FIXADORES EXTERNOS (MATERIAIS DE USO HOSPITALAR E CORRELATOS) PARA PROCEDIMENTOS CIRÚRGICOS DE TRAUMA-ORTOPEDIA, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL",None,264006.44,NÃO,SIM,50.0
MACAE,PREFEITURA MACAE,2022,2,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,291198,CP S002/2022,DIÁRIO OFICIAL DA UNIÃO,2022-02-16,2022-04-05,2022-01-14,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA REFORMA DO PARQUE DE EXPOSIÇÕES LATIFF MUSSI ROCHA, LOCALIZADO NA RODOVIA AMARAL PEIXOTO, BAIRRO SÃO JOSÉ DO BARRETO.",None,13018761.16,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,283419,RGP PE F005/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-01-28,2022-03-31,2022-01-17,"AQUISIÇÃO DE APARELHOS DE AR CONDICIONADO DO TIPO “SPLIT”, TIPO “JANELA” E CORTINA DE AR COM SERVIÇO DE INSTALAÇÃO E GARANTIA.",None,2442504.73,NÃO,NÃO,33.3
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,1,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281119,RGP PE F007/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-01-25,2022-01-25,2022-01-19,"AQUISIÇÃO DE MATERIAIS DE USO HOSPITALAR (CANULAS DE TRAQUEOSTOMIA E FIXADOR), VISANDO ATENDER ÀS NECESSIDADES",None,14084.5,NÃO,NÃO,70.0
MACAE,PREFEITURA MACAE,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,283565,RGP PE S002/2022,"DOU, O DIA, DOM E SITE",2022-02-09,2022-02-11,2022-01-24,"AQUISIÇÃO DE MATERIAIS DIVERSOS, VISANDO ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE INTERIOR.",None,162446.26,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,12,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,300315,CP S003/2022,DIÁRIO OFICIAL DA UNIÃO,2022-12-27,2023-02-15,2022-01-26,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA CONSTRUÇÃO DE ESCOLA PADRÃO INFANTIL EM TERRENO MUNICIPAL LOCALIZADO NA AVENIDA GRANDE OTELO, S/N, BOSQUE AZUL, AJUDA DE BAIXO, MACAÉ-RJ,",None,7397700.11,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,3,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,283257,CP S004/2022,DIÁRIO OFICIAL DA UNIÃO,2022-03-08,2022-04-07,2022-01-26,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA, VISANDO A IMPLANTAÇÃO DA NOVA ESTAÇÃO DE TRATAMENTO DE ÁGUA (ETA) DE CÓRREGO DO OURO, COM FORNECIMENTO DE EQUIPAMENTOS E MATERIAIS.",None,4317996.05,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282821,RGP PE F 09/2022,SITE DA PREFEITURA,2022-02-23,2022-03-10,2022-01-31,AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS PADRONIZADOS NA REMUME MACAÉ 2018/2019,None,1733823.94,NÃO,NÃO,50.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281270,PE F012/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-02-17,2022-02-17,2022-02-01,AQUISIÇÃO DE MEDICAMENTO APIXABANA VISANDO ATENDER AS NECESSIDADES DA CENTRAL DE ABASTECIMENTO FARMACÊUTICO (CAF) POR DEMANDA JUDICIAL .PACIENTE : ESTHER BARRETO MACHADO,None,2324.16,NÃO,NÃO,
MACAE,CAMARA MACAE,2022,2,PREGÃO PRESENCIAL,MENOR PREÇO P/ITEM,281804,PP 002/2022,DIÁRIO OFICIAL DO MUNICÍPIO DE MACAÉ (WWW.MACAE.RJ,2022-02-10,2022-02-18,2022-01-28,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA DISPONIBILIZAÇÃO DE PLATAFORMA DE BEM ESTAR UNIVERSAL PARA OS SERVIDORES DA CÂMARA MUNICIPAL DE MACAÉ.,None,117632.52,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282297,RGP PE F011/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-02-16,2022-02-21,2022-02-01,AQUISIÇÃO DE MATERIAL HOSPITALAR CIRÚRGICO.,None,48726.13,NÃO,NÃO,3.3
MACAE,PREFEITURA MACAE,2022,4,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,287237,RGP PE S047/2021,"DOU, EXPRESSO, O DIA, DOM E SITE",2022-04-13,2022-06-09,2021-10-21,"PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE EQUIPAMENTOS PESADOS (MÁQUINAS E CAMINHÕES), PELO PERÍODO DE 12 (DOZE) MESES, INCLUSIVE OPERADORES, MOTORISTA, COMBUSTÍVEIS E MANUTENÇÃO CORRETIVA, VISANDO ATENDER",None,11557329.96,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281268,RGP PE F008/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-02-08,2022-02-16,2022-01-26,AQUISIÇÃO DE MATERIAIS DE ELÉTRICA PARA MANUTENÇÃO PREDIAL VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE – SEMUSA,None,506579.32,NÃO,NÃO,
MACAE,FUNDO MUN ASSIST SOCIAL MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,283681,PE 004/2022,PORTAL DE TRANSPARÊNCIA DO MUNICÍPIO DE MACAÉ,2022-02-15,2022-03-22,2022-01-31,"PRESTAÇÃO DE SERVIÇOS DE NUTRIÇÃO E ALIMENTAÇÃO, VISANDO AO PREPARO E DISTRIBUIÇÃO DE ALIMENTAÇÃO BALANCEADA E EM CONDIÇÕES HIGIÊNICO-SANITÁRIAS ADEQUADAS, QUE ATENDAM AOS PADRÕES NUTRICIONAIS E DISPO",None,10371941.6,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282304,RGP PE F013/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-02-18,2022-02-23,2022-02-03,AQUISIÇÃO DE COBRE CORPO.,None,18746.4,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281271,RGP PE F014/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-02-21,2022-02-24,2022-02-03,"AQUISIÇÃO DE REAGENTES E INSUMOS DIVERSOS, VISANDO ATENDER ÀS NECESSIDADES DOS LABORATÓRIOS DE ANÁLISES CLÍNICAS VINCULADOS À SECRETARIA MUNICIPAL DE SAÚDE - SEMUSA",None,2433612.87,NÃO,NÃO,70.0
MACAE,CAMARA MACAE,2022,2,PREGÃO PRESENCIAL,MENOR PREÇO P/ITEM,283217,PP 003/2022,DIÁRIO OFICIAL DO MUNICÍPIO (WWW.MACAE.RJ.GOV.BR),2022-02-15,2022-03-07,2022-02-02,"EVENTUAL CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE MATERIAIS (PEÇAS) PARA MANUTENÇÃO DE IMPRESSORAS MULTIFUNCIONAIS MONOCROMÁTICAS E COLORIDAS, VISANDO ATENDER AS NECESSIDADES DA CÂMARA MUNICIPAL DE MA",None,94274.6,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,5,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,286926,PE 005/2022,DIÁRIO OFICIAL DA UNIÃO,2022-05-19,2022-05-20,2022-02-04,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEICULO AUTOMOTOR, EXCLUSO MOTORISTA E COMBUSTÍVEL, COM SEGURO TOTAL E SEM FRANQUIA, COM MANUTENÇÃO TOTAL, PREVENTIVA E CO",None,142517.64,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281273,RGP PE F016/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-02-23,2022-02-23,2022-02-07,"AQUISIÇÃO DE FILMES E REVELADORES PARA RAIOS-X, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE ATENÇÃO BÁSICA E DA SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXIDADE – SEMUS",None,573189.8,NÃO,NÃO,70.0
MACAE,PREFEITURA MACAE,2022,3,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,284162,CP S005/2022,DIÁRIO OFICIAL DA UNIÃO,2022-03-15,2022-05-03,2022-02-09,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA REFORMA DO CENTRO ADMINISTRATIVO LUIZ OSÓRIO - CEALO, LOCALIZADA NA AVENIDA PRESIDENTE SODRÉ, 466, CENTRO, MACAÉ-RJ, COM FORNECIMENTO DE M",None,2300787.7,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,284789,PE 06/2022,DIÁRIO OFICIAL DA UNIÃO,2022-03-11,2022-03-21,2022-02-08,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM TECNOLOGIA DA INFORMAÇÃO PARA PRESTAÇÃO DE SERVIÇOS DE SOLUÇÃO DE BACKUP EM NUVEM, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE CIÊNCIA E TEC",None,456000.0,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,282974,PE 07/2022,DIÁRIO OFICIAL DA UNIÃO,2022-02-23,2022-03-09,2022-02-09,AQUISIÇÃO DE APARELHO DE AR-CONDICIONADO VISANDO ATENDER A NECESSIDADE DA SECRETARIA MUNICIPAL ADJUNTA DE SEGURANÇA E SEUS SETORES ADMINISTRATIVOS.,None,70861.19,NÃO,NÃO,
MACAE,CAMARA MACAE,2022,3,CONCORRÊNCIA (LEI 8.666/93),MELHOR TÉCNICA,285945,CP 001/2022,DIÁRIO OFICIAL DO MUNICÍPIO (WWW.MACAE.RJ.GOV.BR),2022-03-24,2022-06-09,2022-02-05,"CONTRATAÇÃO DE 01 (UMA) AGÊNCIA PARA PRESTAÇÃO DE SERVIÇOS DE PUBLICIDADE, SOB DEMANDA, COMPREENDENDO O CONJUNTO DE ATIVIDADES REALIZADAS INTEGRADAMENTE QUE TENHAM POR OBJETIVO O ESTUDO, O PLANEJAMENT",None,1800000.0,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,2,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,281550,PE F017/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-02-25,2022-02-25,2022-02-11,"AQUISIÇÃO DE EQUIPAMENTOS HOSPITALARES (SELADORA DE TUBO PARA BOLSAS DE SANGUE, TERMÔMETRO PARA REFRIGERAÇÃO, TERMO-HIGRÔMETRO MEDIDOR DE TEMPERATURA AMBIENTE / UMIDADE DO AR, TERMÔMETRO DIGITAL DE SU",None,39495.72,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,284319,PE 009/2022 SRP,DIÁRIO OFICIAL DA UNIÃO,2022-03-03,2022-03-29,2022-02-15,"AQUISIÇÃO DE UNIFORMES ESCOLARES, A SEREM ENTREGUES À SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA DE MACAÉ/RJ, COM A FINALIDADE DE ATENDER AOS ALUNOS DA REDE MUNICIPAL DE ENSINO",None,4630805.04,NÃO,NÃO,
MACAE,PREFEITURA MACAE,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282605,PE 010/2022,DIÁRIO OFICIAL DA UNIÃO,2022-03-04,2022-03-07,2022-02-15,"AQUISIÇÃO DE PAPEL PARA IMPRESSÃO E UTILIZAÇÃO NAS ESCOLAS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA",None,1161000.0,NÃO,NÃO,
MACAE,CAMARA MACAE,2022,2,PREGÃO PRESENCIAL,MENOR PREÇO P/ITEM,282698,PP 005/2022,DIÁRIO OFICIAL DO MUNICÍPIO (WWW.MACAE.RJ.GOV.BR),2022-02-24,2022-03-07,2022-02-12,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO E CONFECÇÃO DE PLACAS E MEDALHAS DE HOMENAGEM COM VISTAS A ATENDER OS DITAMES NORMATIVOS DESTA CASA LEGISLATIVA E PLACAS SETORIAIS PARA ATENDER AS,None,113398.26,NÃO,NÃO,
MACAE,FUNDO MUN TRÂNSITO E TRANSPORTE MACAÉ,2022,3,CONCORRÊNCIA (LEI 8.666/93),MENOR PREÇO GLOBAL,283929,CP S006/2022,DIÁRIO OFICIAL DA UNIÃO,2022-03-18,2022-04-27,2022-02-15,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM CONSTRUÇÃO CIVIL PARA COMPLEMENTAÇÃO DA OBRA DO PRÉDIO DA SECRETARIA MUNICIPAL DE MOBILIDADE URBANA.,None,4001556.21,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282769,PE F018/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-03-07,2022-03-21,2022-02-16,AQUISIÇÃO DE MEDICAMENTOS E INSUMOS FARMACÊUTICOS PADRONIZADOS NA REMUME MACAÉ 2018/2019.,None,1905645.2,NÃO,NÃO,50.0
MACAE,PREFEITURA MACAE,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,282274,PE S012/2022,SITE DA PREFEITURA DE MACAÉ,2022-03-10,2022-03-10,2022-02-18,"PRESTAÇÃO DE SERVIÇOS DE REMOÇÃO, INSTALAÇÃO E ASSENTAMENTO DE APARELHOS DE AR CONDICIONADO TIPO SPLIT, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE OBRAS.",None,66034.8,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,282205,PE F019/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-03-08,2022-04-01,2022-02-21,"AQUISIÇÃO DE GASES DIVERSOS ACONDICIONADOS EM CILINDROS EM REGIME DE COMODATO VISANDO ATENDER AS NECESSIDADES DAS UNIDADES DE SAÚDE, VINCULADAS À SECRETARIA MUNICIPAL ADJUNTA DE ALTA E MÉDIA COMPLEXID",None,69199.99,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282905,RGP PE F021/2022,DIÁRIO OFICIAL DA UNIÃO – DOU,2022-03-09,2022-03-23,2022-02-25,AQUISIÇÃO DE MATERIAIS DE CONSUMO HOSPITALARES DIVERSOS,None,1673023.99,NÃO,NÃO,25.0
MACAE,PREFEITURA MACAE,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO GLOBAL,282991,PE 017/2022,DIÁRIO OFICIAL DA UNIÃO,2022-03-17,2022-03-17,2022-03-02,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE EXECUÇÃO DE ESPETÁCULO TEATRAL DA PAIXÃO DE CRISTO, INCLUINDO TODO O MATERIAL E MÃO DE OBRA, A SER REALIZADO EM ESPAÇO ABERTO NA PRAIA",None,296000.0,NÃO,NÃO,
MACAE,CAMARA MACAE,2022,3,PREGÃO PRESENCIAL,MENOR PREÇO P/ITEM,283166,PP 007/2022,DIÁRIO OFICIAL DO MUNICÍPIO (WWW.MACAE.RJ.GOV.BR),2022-03-15,2022-03-16,2022-02-26,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA GUARNECER AS NECESSIDADES DECORRENTES DAS SESSÕES ORDINÁRIAS DA CÂMARA MUNICIPAL DE MACAÉ.,None,51440.0,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282629,PE F026/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-03-21,2022-03-21,2022-03-07,"AQUISIÇÃO DE CÂMARA DE CONSERVAÇÃO DE VACINA, COM GARANTIA E AUTONOMIA DE 48H PARA ATENDER ÀS NECESSIDADES DA ESTRATÉGIA SAÚDE DA FAMÍLIA – ESF, VINCULADA À SECRETARIA ADJUNTA DE ATENÇÃO BÁSICA - SEMU",None,140000.0,NÃO,NÃO,100.0
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/LOTE,282640,RGP PE F024/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-03-17,2022-03-25,2022-03-07,"AQUISIÇÃO DE MATERIAIS ESPECÍFICOS DE USO EM PROCEDIMENTOS CIRÚRGICOS DE TRAUMATOLOGIA BUCOMAXILOFACIAL COM LOCAÇÃO DE EQUIPAMENTO, VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL ADJUNTA DE A",None,654586.35,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,283316,RGP PE F027/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-03-22,2022-04-12,2022-03-07,AQUISIÇÃO DE MATERIAIS DE PINTURA PARA MANUTENÇÃO PREDIAL VISANDO ATENDER ÀS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE - SEMUSA,None,195989.74,NÃO,NÃO,
MACAE,CAMARA MACAE,2022,3,PREGÃO PRESENCIAL,MAIOR DESCONTO,283770,PP 008/2022,DIÁRIO OFICIAL DO MUNICÍPIO DE MACAÉ,2022-03-21,2022-03-23,2022-03-08,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE GERENCIAMENTO DO ABASTECIMENTO E FORNECIMENTO DE COMBUSTÍVEIS (GASOLINA COMUM, ETANOL E DIESEL), POR MEIO DE SISTEMA INFORMATIZADO E INTEGRADO, QUE",None,817075.83,NÃO,NÃO,
MACAE,FUNDO MUN SAÚDE MACAÉ,2022,3,PREGÃO ELETRÔNICO,MENOR PREÇO P/ITEM,282632,RGP F028/2022,DIÁRIO OFICIAL DA UNIÃO (DOU),2022-03-23,2022-03-23,2022-03-10,"AQUISIÇÃO DE MEDICAMENTO MICOFENOLATO DE MOFETILA 500 MG COMPRIMIDO REVESTIDO, VISANDO ATENDER OS MANDADOS DE INTIMAÇÃO PROCESSOS NO0002347-24.2017.8.19.0028 E NO0021082-37.2019.8.19.0028, AJUIZADO RE",None,15158.5,NÃO,NÃO,
